branch,input_ng,rt_bin,phospho_sum_mean
hybrid,10,9.25,29045.86557328701
hybrid,10,9.75,40627.10885822773
hybrid,10,10.25,30672.18054458499
hybrid,10,10.75,7105.307167470455
hybrid,10,11.25,15278.399589300156
hybrid,10,11.75,11829.258311867714
hybrid,10,12.25,30926.067650675774
hybrid,10,12.75,9158.336948513985
hybrid,10,13.25,12526.30309164524
hybrid,10,13.75,2945.902930378914
hybrid,10,14.25,4980.284676790237
hybrid,10,14.75,348.6699289083481
hybrid,10,15.25,235.96698665618896
hybrid,20,4.25,13543.488596111536
hybrid,20,4.75,73654.99333834648
hybrid,20,5.25,132753.97765347362
hybrid,20,5.75,106558.12116199732
hybrid,20,6.25,75981.71949011087
hybrid,20,6.75,134758.57375648618
hybrid,20,7.25,93147.97309541702
hybrid,20,7.75,167820.32394948602
hybrid,20,8.25,102487.71649360657
hybrid,20,8.75,123715.02844071388
hybrid,20,9.25,81633.92971840501
hybrid,20,9.75,134292.50073844194
hybrid,20,10.25,120534.98130238056
hybrid,20,10.75,50653.99874356389
hybrid,20,11.25,56868.610309779644
hybrid,20,11.75,48945.21811258793
hybrid,20,12.25,86841.78618180752
hybrid,20,12.75,51610.60592600703
hybrid,20,13.25,19013.08631271124
hybrid,20,13.75,10760.104328036308
hybrid,20,14.25,3934.7153067588806
hybrid,20,15.25,92.00457763671875
hybrid,50,4.25,70137.98125648499
hybrid,50,4.75,226472.2373457849
hybrid,50,5.25,432224.46895504
hybrid,50,5.75,373056.1111340523
hybrid,50,6.25,286562.58986234665
hybrid,50,6.75,417608.26463136077
hybrid,50,7.25,299298.4255788326
hybrid,50,7.75,406749.66177779436
hybrid,50,8.25,250805.41529873013
hybrid,50,8.75,394101.83291605115
hybrid,50,9.25,284148.93667811155
hybrid,50,9.75,413055.01960495114
hybrid,50,10.25,316865.3084823787
hybrid,50,10.75,180044.77634978294
hybrid,50,11.25,203155.2139045596
hybrid,50,11.75,201537.11229592562
hybrid,50,12.25,249098.03065761924
hybrid,50,12.75,154290.46836945415
hybrid,50,13.25,95105.83617597818
hybrid,50,13.75,47663.75039732456
hybrid,50,14.25,18228.360336780548
hybrid,50,14.75,752.1047763824463
hybrid,100,4.25,132951.64163705707
hybrid,100,4.75,326556.05351510644
hybrid,100,5.25,581065.831140101
hybrid,100,5.75,574000.1374576688
hybrid,100,6.25,418108.77261582017
hybrid,100,6.75,552321.8349691927
hybrid,100,7.25,462879.43945246935
hybrid,100,7.75,563336.7707363367
hybrid,100,8.25,347767.1526309848
hybrid,100,8.75,645520.6447333097
hybrid,100,9.25,403903.1417595446
hybrid,100,9.75,608701.2405261099
hybrid,100,10.25,476084.3997326493
hybrid,100,10.75,254650.9393067956
hybrid,100,11.25,281669.3460741043
hybrid,100,11.75,280046.4199320078
hybrid,100,12.25,327752.1132094264
hybrid,100,12.75,213705.0195120275
hybrid,100,13.25,145964.81157761812
hybrid,100,13.75,57054.03649157286
hybrid,100,14.25,25647.431835889816
hybrid,100,14.75,656.0423492193222
hybrid,100,15.25,22.01630179087321
hybrid,200,4.25,415330.8157874048
hybrid,200,4.75,894886.8640290201
hybrid,200,5.25,1285764.5492570102
hybrid,200,5.75,1460214.7522656322
hybrid,200,6.25,1094326.7300061882
hybrid,200,6.75,1541035.6184535027
hybrid,200,7.25,1280181.0614656806
hybrid,200,7.75,1357056.6378145814
hybrid,200,8.25,1046729.7473608255
hybrid,200,8.75,1422401.460449338
hybrid,200,9.25,1096093.483082652
hybrid,200,9.75,1558973.895533979
hybrid,200,10.25,1112440.6220364273
hybrid,200,10.75,788423.219022125
hybrid,200,11.25,770430.1440114379
hybrid,200,11.75,777061.0090857148
hybrid,200,12.25,925044.618182838
hybrid,200,12.75,531790.9700957537
hybrid,200,13.25,459484.9974464774
hybrid,200,13.75,219539.3249219656
hybrid,200,14.25,74219.13624894619
hybrid,200,14.75,4635.057556569576
hybrid,200,15.25,497.176495552063
hybrid,500,4.25,759150.2220490277
hybrid,500,4.75,1670037.9657446444
hybrid,500,5.25,2732022.3055821955
hybrid,500,5.75,2672790.4049462676
hybrid,500,6.25,1937580.8670089245
hybrid,500,6.75,3034218.264535725
hybrid,500,7.25,2375346.934188217
hybrid,500,7.75,2835749.9524895847
hybrid,500,8.25,2000636.557433784
hybrid,500,8.75,2748957.4891919196
hybrid,500,9.25,1979185.2324102223
hybrid,500,9.75,3110365.5285912454
hybrid,500,10.25,2694092.660798371
hybrid,500,10.75,1556251.8801611364
hybrid,500,11.25,1631090.4760310054
hybrid,500,11.75,2020316.369232297
hybrid,500,12.25,1831014.775848329
hybrid,500,12.75,1364591.6083329618
hybrid,500,13.25,1220085.9997749329
hybrid,500,13.75,598885.7016296983
hybrid,500,14.25,246241.7304968238
hybrid,500,14.75,17038.179453492165
hybrid,500,15.25,7250.211504340172
hybrid,1000,4.25,1353028.8700996041
hybrid,1000,4.75,2673025.340189427
hybrid,1000,5.25,4801991.75817579
